,epoch,Training Loss,Valid. Loss,Training Time,Validation Time,Validation Accuracy
0,1,5.63186641082921,5.331506463402903,0:20:40,0:00:39,11.094
1,2,5.071839965204422,4.844967320418403,0:20:39,0:00:39,14.065
2,3,4.580671291640208,4.399306191440126,0:20:41,0:00:39,16.731
3,4,4.12108008644366,4.0017207491039395,0:20:40,0:00:39,18.793
4,5,3.6718939895151115,3.62784664049716,0:20:41,0:00:39,21.31
5,6,3.3006133250963687,3.4036710152470446,0:20:41,0:00:39,22.735
6,7,3.0208446890516267,3.262354434489899,0:20:40,0:00:39,24.162
7,8,2.7918976344009776,3.1776927929998435,0:20:40,0:00:40,25.09
8,9,2.6007252883955214,3.1293532056680338,0:20:41,0:00:39,25.625
9,10,2.453006185975326,3.110140525295577,0:20:41,0:00:39,26.001
